⍋Y,Ascending grade: Indices to reorder Y into ascending order <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Grade%20Up%20Monadic.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Index Generation,"
⍋Jv,Invert permutation <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Grade%20Up%20Monadic.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Index Generation,"
C⍋D,Ascending grade using collation sequence C <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Grade%20Up%20Dyadic.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Index Generation,"
⍒Y,Descending grade: Indices to reorder Y into descending order <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Grade%20Down%20Monadic.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Index Generation,"
C⍒D,Descending grade using collation sequence C <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Grade%20Down%20Dyadic.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Index Generation,"
Iv\Y,Expand last axis of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Expand.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Selection,"
f\Y,Scan: f between items of Y in progressively longer vectors along last axis <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Scan.htm'>Link to docs<a/>,"Primitive,Monadic Function,Monadic Operator,Function Application,"
Iv⍀Y,Expand leading axis of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Expand.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Selection,"
f⍀Y,Scan First: f between items of Y in progressively longer vectors along first axis <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Scan%20First.htm'>Link to docs<a/>,"Primitive,Monadic Function,Monadic Operator,Function Application,"
⍉Y,Transpose: Reverse order of axes of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Transpose%20Monadic.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Structural,"
⍉Ym,Reflect diagonally <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Transpose%20Monadic.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Structural,"
Iv⍉Y,Reorder the axes of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Transpose%20Dyadic.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Structural,"
X f⌸Y,Key: f between unique X values and their corresponding items of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Key.htm'>Link to docs<a/>,"Primitive,Dyadic Function,Monadic Operator,Sets,"
f⌸Y,Key: f between unique Y values and their first-axis indices <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Key.htm'>Link to docs<a/>,"Primitive,Monadic Function,Monadic Operator,Sets,"
X⍷Y,Boolean indication of top left corner of occurrences of entire array X within Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Find.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Sets,"
X f.g Y,Inner Product: f / g between trailing vectors of X and leading vectors of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Inner%20Product.htm'>Link to docs<a/>,"Primitive,Monadic Function,Dyadic Operator,Mathematical,"
M⊥N,Decode: Evaluate N in number system M <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Decode.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Mathematical,"
Ns⊥N,Value of polynomial with descending coefficients N at point Ns <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Decode.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Mathematical,"
M⊤N,Encoding value N in number system M <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Encode.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Mathematical,"
⌹Nm,Matrix inverse of Nm (square Nm) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Matrix%20Inverse.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Mathematical,"
⌹Nm,Matrix pseudo-inverse of Nm (over-determined Nm) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Matrix%20Inverse.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Mathematical,"
Mv⌹Nm,Solve equation system with variable coefficients Nm and values Mv <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Matrix%20Divide.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Mathematical,"
Mm⌹Nm,Multiplying Mm with inversed Nm <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Matrix%20Divide.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Mathematical,"
⍎Dv,Execute: Result of expression Dv <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Execute.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Data Conversion,"
X⍎Dv,Execute Dv within namespace X (name or reference) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Execute.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Data Conversion,"
⍕Y,Format: Character representation of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Format%20Monadic.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Data Conversion,"
Iv⍕Y,"Format Y using ({width}, decimals) pairs Iv (negative decimals for scaled notation) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Format%20Dyadic.htm'>Link to docs<a/>","Primitive,Dyadic Function,nan,Data Conversion,"
X f&Y,Spawn: f between X and Y in a new thread <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Spawn.htm'>Link to docs<a/>,"Primitive,Monadic Function,Monadic Operator,System,"
f&Y,Spawn: f on Y in a new thread <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Spawn.htm'>Link to docs<a/>,"Primitive,Dyadic Function,Monadic Operator,System,"
Ns⌶Y,I-beam: Call experimental system-related monadic function Ns <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/I%20Beam.htm'>Link to docs<a/>,"Primitive,Monadic Function,Monadic Operator,System,"
name f←Y,Modified Assignment (tradfns/tradops only) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Assignment%20Modified.htm'>Link to docs<a/>,"Primitive,Dyadic Function,Monadic Operator,Expression,"
name←Y,Assignment <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Assignment.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Expression,"
∇,Dfn Self <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Defined%20Functions%20and%20Operators/DynamicFunctions/Recursion.htm'>Link to docs<a/>,"Primitive,Ambivalent Monadic Function, Dyadic Function,nan,Expression,"
→,Abort (cut stack back one frame) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Branch.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Expression,"
→0,Return: Leave function and return to caller <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Branch.htm'>Link to docs<a/>,"Primitive,Niladic Function,nan,Expression,"
→Jv,Branch to first line or label in Jv (does nothing if Jv is empty) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Branch.htm'>Link to docs<a/>,"Primitive,Niladic Function,nan,Expression,"
⍵,Dfn/dop Right Argument <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Defined%20Functions%20and%20Operators/DynamicFunctions/Dynamic%20Functions%20and%20Operators.htm'>Link to docs<a/>,"Primitive,Array,nan,Expression,"
⍺,Dfn/dop Left Argument <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Defined%20Functions%20and%20Operators/DynamicFunctions/Dynamic%20Functions%20and%20Operators.htm'>Link to docs<a/>,"Primitive,Array,nan,Expression,"
"Z f⍨X,Y","Avoiding parentheses by swapping arguments in (X,Y) f Z <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Commute.htm'>Link to docs<a/>","Primitive,Dyadic Function,Monadic Operator,Function Application,"
X∘.g Y,Outer Product: g between each item of X and every item of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Outer%20Product.htm'>Link to docs<a/>,"Primitive,Monadic Function,Dyadic Operator,Mathematical,"
expr⊣name←Y,Combining two lines into one <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Left.htm'>Link to docs<a/>,"Primitive,nan,nan,Identity,"
∇∇,Dop Self <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Defined%20Functions%20and%20Operators/DynamicFunctions/Recursion.htm'>Link to docs<a/>,"Primitive,Ambivalent Monadic Function, Dyadic Function,Monadic Operator;Dyadic Operator,Expression,"
↑Xv Yv …,N-row matrix from N vectors <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Mix.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Structural,"
⍵⍵,Dop Right Operand <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Defined%20Functions%20and%20Operators/DynamicFunctions/Dynamic%20Operators.htm'>Link to docs<a/>,"Primitive,Array, Monadic Function, Dyadic Function,nan,Expression,"
⍺⍺,Dop Left Operand <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Defined%20Functions%20and%20Operators/DynamicFunctions/Dynamic%20Operators.htm'>Link to docs<a/>,"Primitive,Array, Monadic Function, Dyadic Function,nan,Expression,"
⌽[ax]Y,Reverse axis ax of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Reverse.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Structural,"
I⌽[ax]Y,Rotate vectors along axis ax of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Rotate.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Structural,"
↓[ax]Y,Split: Nest sub-arrays (from axis ax) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Split.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Structural,"
Iv↓[ax]Y,Drop Iv items along axes ax of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Drop%20with%20Axes.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Selection,"
↑[ax]Y,Mix: Remove nesting (adding axes between ⌊ax and ⌈ax) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Mix.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Structural,"
Iv↑[ax]Y,Take Iv items along axes ax of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Take%20with%20Axes.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Selection,"
Is f/[ax]Y,N-wise Reduce: f between all items of Y in groups of Is on axis ax <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Reduce%20First%20N%20Wise.htm'>Link to docs<a/>,"Primitive,Dyadic Function,Monadic Operator,Function Application,"
Iv/[ax]Y,Replicate along axis ax <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Replicate.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Selection,"
f/[ax]Y,Reduce: f between all items of Y on axis ax <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Reduce.htm'>Link to docs<a/>,"Primitive,Monadic Function,Monadic Operator,Function Application,"
",[ax]Y",Ravel with Axis: insert new axis between ⌊ax and ⌈ax <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Ravel%20with%20Axes.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Structural,"
",[ax]Y",Ravel with Axes: combine axes <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Ravel%20with%20Axes.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Structural,"
"X,[ax]Y",Laminate: Join along new axis <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Catenate%20Laminate.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Structural,"
⊂[ax]Y,Enclose: Contain axes ax inside scalars <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Enclose%20with%20Axes.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Structural,"
Av⊂[ax]Y,Partitioned enclose of Y according to Av (along axis ax) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Partitioned%20Enclose.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Selection,"
Mv⊆[ax]Y,Partition Y according to Mv (along axis ax) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Partition.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Selection,"
Iv⌷[ax]Y,Index Y using indices Iv along axes ax <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Index%20with%20Axes.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Selection,"
Iv\[ax]Y,Expand axis ax of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Expand.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Selection,"
f\[ax]Y,Scan: f between items of Y in progressively longer vectors along axis ax <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Scan.htm'>Link to docs<a/>,"Primitive,Monadic Function,Monadic Operator,Function Application,"
name[I]←Y,Indexed Assignment <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Assignment%20Indexed.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Expression,"
name[I]f←Y,Modified Indexed Assignment (tradfns/tradops only) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Assignment%20Indexed%20Modified.htm'>Link to docs<a/>,"Primitive,Dyadic Function,Monadic Operator,Expression,"
X(Y⍨)Z,Constant: ignore arguments and return Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Constant.htm'>Link to docs<a/>,"Primitive,Monadic Function,Monadic Operator,Structural,"
(f∘Y)Z,"Curry: f between Z and Y, that is, Z f Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Bind.htm'>Link to docs<a/>","Primitive,Monadic Function,Dyadic Operator,Composition,"
X(f⍤Is Js)Y,Rank: f between every trailing rank-Is subarray of X and every trailing rank-Js subarray of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Rank.htm'>Link to docs<a/>,"Primitive,Dyadic Function,Dyadic Operator,Function Application,"
(f⍤Js)Y,Rank: f on every trailing rank-Js subarray of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Rank.htm'>Link to docs<a/>,"Primitive,Monadic Function,Dyadic Operator,Function Application,"
X@{B}Y,Unpack a vector X into an array based on mask B <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/At.htm'>Link to docs<a/>,"Primitive,Monadic Function,Dyadic Operator,Structural,"
X(f@N)Y,At: apply X∘f to modify positions N in Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/At.htm'>Link to docs<a/>,"Primitive,Dyadic Function,Dyadic Operator,Function Application,"
X(f@g)Y,At: apply X∘f to modify positions identified by Boolean mask (g Y) in Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/At.htm'>Link to docs<a/>,"Primitive,Dyadic Function,Dyadic Operator,Function Application,"
(X@N)Y,At: use values in X to replace positions N in Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/At.htm'>Link to docs<a/>,"Primitive,Monadic Function,Dyadic Operator,Structural,"
(X@g)Y,At: use values in X to replace positions identified by Boolean mask (g Y) in Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/At.htm'>Link to docs<a/>,"Primitive,Monadic Function,Dyadic Operator,Structural,"
(Xv@Js)Ym,Amend row Is of matrix Ym <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/At.htm'>Link to docs<a/>,"Primitive,Monadic Function,Dyadic Operator,Structural,"
(f@N)Y,At: apply f to modify positions N in Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/At.htm'>Link to docs<a/>,"Primitive,Monadic Function,Dyadic Operator,Function Application,"
(f@g)Y,At: apply f to modify positions identified by Boolean mask (g Y) in Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/At.htm'>Link to docs<a/>,"Primitive,Monadic Function,Dyadic Operator,Function Application,"
X(f⍣Js)Y,Power: apply X∘f on Y Js times <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Power%20Operator.htm'>Link to docs<a/>,"Primitive,Dyadic Function,Dyadic Operator,Iteration,"
(f⍣Js)Y,Power: apply f on Y Js times <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Power%20Operator.htm'>Link to docs<a/>,"Primitive,Monadic Function,Dyadic Operator,Iteration,"
