⍬,Empty Numeric Vector <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Symbols/Zilde%20Symbol.htm'>Link to docs<a/>
⍸Bm,List of arcs from adjacency matrix Bm <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Where.htm'>Link to docs<a/>
X⍸Y,Indices of major cells of Y in left-inclusive intervals with cut-offs X <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Interval%20Index.htm'>Link to docs<a/>
∪Y,Unique: Distinct major cells of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Unique.htm'>Link to docs<a/>
Xv∪Yv,"Union: Xv,Yv~Xv <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Union.htm'>Link to docs<a/>"
Xv∩Yv,Intersection: (Xv∊Yv)/Xv <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Intersection.htm'>Link to docs<a/>
X f⍣g Y,Power: iterating X∘f on Y until condition (f Y) g Y is true <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Power%20Operator.htm'>Link to docs<a/>
f⍣g Y,Power: iterating f on Y until condition (f Y) g Y is true <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Power%20Operator.htm'>Link to docs<a/>
⍋Y,Ascending grade: Indices to reorder Y into ascending order <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Grade%20Up%20Monadic.htm'>Link to docs<a/>
⍋Jv,Invert permutation <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Grade%20Up%20Monadic.htm'>Link to docs<a/>
C⍋D,Ascending grade using collation sequence C <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Grade%20Up%20Dyadic.htm'>Link to docs<a/>
⍒Y,Descending grade: Indices to reorder Y into descending order <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Grade%20Down%20Monadic.htm'>Link to docs<a/>
C⍒D,Descending grade using collation sequence C <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Grade%20Down%20Dyadic.htm'>Link to docs<a/>
Iv\Y,Expand last axis of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Expand.htm'>Link to docs<a/>
f\Y,Scan: f between items of Y in progressively longer vectors along last axis <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Scan.htm'>Link to docs<a/>
Iv⍀Y,Expand leading axis of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Expand.htm'>Link to docs<a/>
f⍀Y,Scan First: f between items of Y in progressively longer vectors along first axis <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Scan%20First.htm'>Link to docs<a/>
⍉Y,Transpose: Reverse order of axes of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Transpose%20Monadic.htm'>Link to docs<a/>
⍉Ym,Reflect diagonally <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Transpose%20Monadic.htm'>Link to docs<a/>
Iv⍉Y,Reorder the axes of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Transpose%20Dyadic.htm'>Link to docs<a/>
X f⌸Y,Key: f between unique X values and their corresponding items of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Key.htm'>Link to docs<a/>
f⌸Y,Key: f between unique Y values and their first-axis indices <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Key.htm'>Link to docs<a/>
X⍷Y,Boolean indication of top left corner of occurrences of entire array X within Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Find.htm'>Link to docs<a/>
X f.g Y,Inner Product: f / g between trailing vectors of X and leading vectors of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Inner%20Product.htm'>Link to docs<a/>
M⊥N,Decode: Evaluate N in number system M <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Decode.htm'>Link to docs<a/>
Ns⊥N,Value of polynomial with descending coefficients N at point Ns <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Decode.htm'>Link to docs<a/>
M⊤N,Encoding value N in number system M <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Encode.htm'>Link to docs<a/>
⌹Nm,Matrix inverse of Nm (square Nm) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Matrix%20Inverse.htm'>Link to docs<a/>
⌹Nm,Matrix pseudo-inverse of Nm (over-determined Nm) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Matrix%20Inverse.htm'>Link to docs<a/>
Mv⌹Nm,Solve equation system with variable coefficients Nm and values Mv <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Matrix%20Divide.htm'>Link to docs<a/>
Mm⌹Nm,Multiplying Mm with inversed Nm <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Matrix%20Divide.htm'>Link to docs<a/>
